event_id,timestamp,campaign_id,campaign_name,format,event_type,cost,revenue
EVT_886030,2026-07-30 10:31:38,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_321692,2026-07-29 17:51:23,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_481196,2026-07-28 23:12:21,CMP_101,Summer Apparel,OLV,impression,0.0046,0.0
EVT_175746,2026-07-29 08:17:25,CMP_103,B2B SaaS Trial,Display,impression,0.0139,0.0
EVT_239086,2026-07-30 00:52:41,CMP_102,Tech Gadgets Launch,CTV,q2_50,0.0,0.0
EVT_871134,2026-07-30 19:26:41,CMP_101,Summer Apparel,OLV,impression,0.0098,0.0
EVT_343606,2026-07-31 14:39:18,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_323919,2026-07-31 09:05:21,CMP_103,B2B SaaS Trial,Display,impression,0.0135,0.0
EVT_130252,2026-07-29 19:37:30,CMP_103,B2B SaaS Trial,Display,impression,0.0041,0.0
EVT_608469,2026-07-30 01:12:55,CMP_101,Summer Apparel,OLV,conversion,0.0,46.51
EVT_689714,2026-07-29 23:56:15,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_236331,2026-07-29 16:33:59,CMP_101,Summer Apparel,OLV,impression,0.0114,0.0
EVT_400240,2026-07-31 05:49:18,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_273710,2026-07-31 17:18:15,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_419767,2026-07-30 06:32:15,CMP_102,Tech Gadgets Launch,CTV,impression,0.0053,0.0
EVT_763697,2026-07-29 10:06:03,CMP_102,Tech Gadgets Launch,CTV,impression,0.0026,0.0
EVT_209092,2026-07-30 09:59:33,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_666063,2026-07-31 03:15:59,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_815838,2026-07-31 05:01:40,CMP_101,Summer Apparel,OLV,impression,0.0035,0.0
EVT_295911,2026-07-30 08:59:00,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_520962,2026-07-31 19:05:09,CMP_101,Summer Apparel,OLV,impression,0.0059,0.0
EVT_975882,2026-07-30 12:36:59,CMP_101,Summer Apparel,OLV,impression,0.0056,0.0
EVT_718060,2026-07-31 04:10:42,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_733576,2026-07-31 00:11:41,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_798143,2026-07-28 21:34:23,CMP_102,Tech Gadgets Launch,CTV,impression,0.0122,0.0
EVT_772729,2026-07-30 07:34:39,CMP_103,B2B SaaS Trial,Display,q1_25,0.0,0.0
EVT_883303,2026-07-30 02:48:24,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_112754,2026-07-31 07:47:32,CMP_103,B2B SaaS Trial,Display,impression,0.0097,0.0
EVT_906701,2026-07-31 00:03:56,CMP_101,Summer Apparel,OLV,impression,0.01,0.0
EVT_115402,2026-07-30 17:41:00,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_341829,2026-07-29 02:35:04,CMP_101,Summer Apparel,OLV,impression,0.0078,0.0
EVT_998406,2026-07-29 14:26:53,CMP_102,Tech Gadgets Launch,CTV,impression,0.014,0.0
EVT_148192,2026-07-29 17:59:55,CMP_103,B2B SaaS Trial,Display,q3_75,0.0,0.0
EVT_471210,2026-07-30 00:52:50,CMP_103,B2B SaaS Trial,Display,impression,0.0047,0.0
EVT_472005,2026-07-29 23:51:06,CMP_102,Tech Gadgets Launch,CTV,impression,0.0114,0.0
EVT_821556,2026-07-30 02:45:14,CMP_102,Tech Gadgets Launch,CTV,impression,0.0051,0.0
EVT_303938,2026-07-31 11:17:41,CMP_101,Summer Apparel,OLV,impression,0.0067,0.0
EVT_926583,2026-07-30 06:30:01,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_337885,2026-07-29 23:46:59,CMP_101,Summer Apparel,OLV,impression,0.0064,0.0
EVT_332387,2026-07-29 04:35:02,CMP_103,B2B SaaS Trial,Display,click,0.0,0.0
EVT_310201,2026-07-31 02:50:35,CMP_101,Summer Apparel,OLV,q2_50,0.0,0.0
EVT_714254,2026-07-31 17:34:46,CMP_102,Tech Gadgets Launch,CTV,q4_100,0.0,0.0
EVT_535585,2026-07-31 08:26:46,CMP_102,Tech Gadgets Launch,CTV,impression,0.0076,0.0
EVT_138236,2026-07-30 21:50:15,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_226217,2026-07-29 16:34:49,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_662085,2026-07-29 03:20:03,CMP_102,Tech Gadgets Launch,CTV,impression,0.0078,0.0
EVT_947781,2026-07-29 10:04:22,CMP_103,B2B SaaS Trial,Display,impression,0.0064,0.0
EVT_459219,2026-07-30 04:56:06,CMP_103,B2B SaaS Trial,Display,impression,0.0024,0.0
EVT_621799,2026-07-30 02:30:55,CMP_103,B2B SaaS Trial,Display,impression,0.0124,0.0
EVT_595811,2026-07-29 16:27:40,CMP_101,Summer Apparel,OLV,q3_75,0.0,0.0
EVT_734880,2026-07-28 22:34:46,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
EVT_403621,2026-07-30 12:50:49,CMP_102,Tech Gadgets Launch,CTV,q1_25,0.0,0.0
EVT_789530,2026-07-30 09:17:15,CMP_102,Tech Gadgets Launch,CTV,impression,0.0137,0.0
EVT_806909,2026-07-30 00:19:14,CMP_102,Tech Gadgets Launch,CTV,impression,0.0149,0.0
EVT_559450,2026-07-31 14:57:36,CMP_101,Summer Apparel,OLV,impression,0.0101,0.0
EVT_933559,2026-07-29 01:27:00,CMP_103,B2B SaaS Trial,Display,q2_50,0.0,0.0
EVT_920537,2026-07-29 02:55:55,CMP_101,Summer Apparel,OLV,q1_25,0.0,0.0
